"module_name","identifier_name","type"
aif360.algorithms.preprocessing,DisparateImpactRemover,Solution
aif360.algorithms.preprocessing,LFR,Solution
aif360.algorithms.preprocessing,OptimPreproc,Solution
aif360.algorithms.preprocessing,Reweighing,Solution
aif360.algorithms.inprocessing,AdversarialDebiasing,Solution
aif360.algorithms.inprocessing,ARTClassifier,Solution
aif360.algorithms.inprocessing,GerryFairClassifier,Solution
aif360.algorithms.inprocessing,MetaFairClassifier,Solution
aif360.algorithms.inprocessing,PrejudiceRemover,Solution
aif360.algorithms.inprocessing,ExponentiatedGradientReduction,Solution
aif360.algorithms.inprocessing,GridSearchReduction,Solution
aif360.algorithms.postprocessing,CalibratedEqOddsPostprocessing,Solution
aif360.algorithms.postprocessing,EqOddsPostprocessing,Solution
aif360.algorithms.postprocessing,RejectOptionClassification,Solution
aif360.algorithms.postprocessing,DeterministicReranking,Solution
aif360.explainers,MetricTextExplainer,Analytic
aif360.explainers,MetricJSONExplainer,Analytic
aif360.metrics,DatasetMetric,Analytic
aif360.metrics,BinaryLabelDatasetMetric,Analytic
aif360.metrics,ClassificationMetric,Analytic
aif360.metrics,SampleDistortionMetric,Analytic
aif360.metrics,MDSSClassificationMetric,Analytic
aif360.metrics.utils,compute_boolean_conditioning_vector,Analytic
aif360.metrics.utils,compute_num_instances,Analytic
aif360.metrics.utils,compute_num_pos_neg,Analytic
aif360.metrics.utils,compute_num_TF_PN,Analytic
aif360.metrics.utils,compute_num_gen_TF_PN,Analytic
aif360.metrics.utils,compute_distance,Analytic
aif360.sklearn.detectors,MDSS_bias_scan,Analytic
aif360.sklearn.detectors,FACTS_bias_scan,Analytic
aif360.sklearn.detectors,FACTS,Analytic
aif360.sklearn.preprocessing,FairAdapt,Solution
aif360.sklearn.preprocessing,LearnedFairRepresentations,Solution
aif360.sklearn.preprocessing,Reweighing,Solution
aif360.sklearn.inprocessing,AdversarialDebiasing,Solution
aif360.sklearn.inprocessing,ExponentiatedGradientReduction,Solution
aif360.sklearn.inprocessing,GridSearchReduction,Solution
aif360.sklearn.inprocessing,SenSeI,Solution
aif360.sklearn.inprocessing,SenSR,Solution
aif360.sklearn.postprocessing,CalibratedEqualizedOdds,Solution
aif360.sklearn.postprocessing,RejectOptionClassifier,Solution
aif360.sklearn.postprocessing,PostProcessingMeta,Solution
aif360.sklearn.utils,check_inputs,Analytic
aif360.sklearn.utils,check_groups,Analytic
aif360.sklearn.metrics,difference,Analytic
aif360.sklearn.metrics,ratio,Analytic
aif360.sklearn.metrics,intersection,Analytic
aif360.sklearn.metrics,one_vs_rest,Analytic
aif360.sklearn.metrics,make_scrorer,Analytic
aif360.sklearn.metrics,num_samples,Analytic
